channelID,channel_name,channel_country,ad_percentage
UCfDPpLHN-7_6cctaU8CgPhQ,Навигатор игрового мира,RU,14.31%
UCd4BxCKyMHG2J0X1SerTPaQ,이동형TV,KR,12.95%
UCpdQX3whRd61cgzjBXISFRQ,Dưa Leo,VN,12.92%
UCoOjH8D2XAgjzQlneM2W0EQ,Jake Tran,US,12.66%
UCMNGwNS4yCEsCCyu2soQDrQ,강성범tv,KR,12.23%
UCPT9_sNLoBLjH1uea7zpVIA,This is Хорошо,LV,11.96%
UCtNdVINwfYFTQEEZgMiQ8FA,Bailey Sarian,US,11.78%
UC-uhvujip5deVcEtLxnW8qg,TLDR News Global,GB,11.40%
UCwkm_Wcyh0pc7UUmZZfL-6w,Donut Operator,US,11.30%
UC5UAwBUum7CPN5buc-_N1Fw,The Linux Experiment,US,11.10%
UC-eegKVWEgBCa4OzjnK_PtA,TLDR News EU,GB,10.98%
UC1yNl2E66ZzKApQdRuTQ4tw,Sabine Hossenfelder,DE,10.72%
UCfk5MMR4k6ulPmvvzkGe5kg,Treta News,BR,10.56%
UCfwE_ODI1YTbdjkzuSi1Nag,TheQuartering,US,10.28%
UCjuiVJmqil8VdRen0gh3Ewg,Linhagem Geek,BR,10.28%
UC4Z8mPYjn6Dhr6n531YDh0Q,UFD Tech,US,10.08%
UCw-NeLZsmZL1ZL04TMaPaHA,marazm,RS,10.03%
UC5X4e8ScZI2AFd_vkjSoyoQ,AstronoGeek,FR,9.96%
UCt_4wzTQqmcUvemNkeO0plA,Ei Nerd,BR,9.84%
UC9r9HYFxEQOBXSopFS61ZWg,MeidasTouch,US,9.63%
UCQ1NsRaJAq3wc0KIdRRs5MA,Marvel/DC: Geek Movies,RU,9.49%
UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,US,9.43%
UCOw9Jzw3p4XzL5Ub5WglJRQ,Алексей Макаренков,RU,9.39%
UCSaVoRErW4kqKsDqExs2MXA,SciOne,FR,9.33%
UCRtsZ5Iak9wSLsQLQ3XOAeA,SciManDan,GB,9.33%
UCCJsQKOKArvDksacfT2ryQw,World Affairs by Unacademy,IN,9.31%
UCY03gpyR__MuJtBpoSyIGnw,Droider,SI,9.29%
UCn5fhcGRrCvrmFibPbT6q1A,Brian Lagerstrom ,US,9.21%
UCeGGpOehPGG7vQMUVc7tG8Q,Saberspark,US,9.15%
